DonorName,AcceptorName,DonorSMILES,AcceptorSMILES,V_OC,J_SC,PCE,FF_percent,HOMO_D,LUMO_D,HOMO_A,LUMO_A,Lambda+,Lambda-,PubYear,DOI,source,orbital_label_type,split
PF2,PCBM,CCCCCCCCC(CCCCCC)Cc1cc2sc(-c3c4cc(-c5sc(-c6c(F)c(F)c(-c7cc(CC(CC)CCCC)cs7)c7nsnc67)cc5CC(CC)CCCC)sc4c(-c4cc5sc(CC(CCCCCC)CCCCCCCC)cc5s4)c4ccsc34)cc2s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,0.76,17.8,9.0,66.0,-5.48,-3.73,-6.1,-3.7,,,2024.0,10.1016/j.synthmet.2024.117599,opvdb_experimental,electrochemical,training
SM1-S,Y6,CCCCCCCCC1=C(C2=CC=C(C3=C(CCCCCCCC)C=C(C4=CC5=C(C6=CC=C(SCC(CC)CCCC)S6)C6=C(C=C(C7=CC(CCCCCCCC)=C(C8=CC=C(C9=C(CCCCCCCC)C=C(/C=C(\C#N)C(=O)OCC(CC)CCCC)S9)S8)S7)S6)C(C6=CC=C(SCC(CC)CCCC)S6)=C5S4)S3)S2)SC(/C=C(/C#N)C(=O)OCC(CC)CCCC)=C1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,0.82,23.2,12.9,68.0,-5.32,-2.81,-5.65,-4.09,,,2024.0,10.1039/d4cc06017b,opvdb_experimental,electrochemical,training
SM1,Y6,CCCCCCCCC1=C(C2=CC=C(C3=C(CCCCCCCC)C=C(C4=CC5=C(C6=CC=C(CC(CC)CCCC)S6)C6=C(C=C(C7=CC(CCCCCCCC)=C(C8=CC=C(C9=C(CCCCCCCC)C=C(/C=C(\C#N)C(=O)OCC(CC)CCCC)S9)S8)S7)S6)C(C6=CC=C(CC(CC)CCCC)S6)=C5S4)S3)S2)SC(/C=C(/C#N)C(=O)OCC(CC)CCCC)=C1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,0.8,23.6,12.7,67.0,-5.25,-2.8,-5.65,-4.09,,,2024.0,10.1039/d4cc06017b,opvdb_experimental,electrochemical,training
SM 4,PC71BM,CCCCCCCCOc1cc(-c2ccc(-c3ccc4c5c(cccc35)C(=O)N(CCCCCCCC)C4=O)s2)c(OCCCCCCCC)cc1-c1ccc(-c2ccc3c4c(cccc24)C(=O)N(CCCCCCCC)C3=O)s1,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,0.97,13.69,10.06,75.0,-5.8,-3.65,-5.9,-3.9,,,2024.0,10.1021/acsaem.4c00854,opvdb_experimental,electrochemical,training
PffBT-2T,L8-BO,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1ccc(-c2csc(-c3c(F)c(F)c(-c4cc(-c5ccc(CC(CCCCCCCCCC)CCCCCCCCCCCC)s5)c(-c5ccc(-c6cccs6)s5)s4)c4nsnc34)c2)s1,CCCCCCC(CCCC)Cc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC(CCCC)CCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,0.92,22.3,13.3,65.3,-5.27,-3.1,-5.68,-3.9,,,2024.0,10.1002/anie.202412903,opvdb_experimental,electrochemical,training
PBDB-T,COi8DFIC,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)Oc3c(sc4c5c(sc34)-c3sc4cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc4c3C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)O5)-c3sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc4c32)cc1,0.73,22.17,9.78,60.52,-5.33,-3.48,-5.5,-3.88,,,2024.0,10.1039/d4tc05190d,opvdb_experimental,electrochemical,training
PTQ10,BTA3-4F,CCCCCCCCC(CCCCCC)COc1cnc2c(C)c(F)c(F)c(-c3ccc(C)s3)c2n1,CCCCCCCCn1nc2c(/C=c3\sc(=C(C#N)C#N)n(CC)c3=O)ccc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(-c4ccc(/C=c6\sc(=C(C#N)C#N)n(CC)c6=O)c6nn(CCCCCCCC)nc46)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)c2n1,1.269,11.51,9.95,68.09,-5.54,-2.92,-5.49,-3.72,,,2024.0,10.1021/jacs.4c17140,opvdb_experimental,electrochemical,training
D18-Cl,O-IDTBR,CCCCCCC(CCCC)Cc1csc(-c2cc3c4nsnc4c4cc(-c5cc(CC(CCCC)CCCCCC)c(-c6cc7c(-c8cc(Cl)c(CC(CC)CCCC)s8)c8sccc8c(-c8cc(Cl)c(CC(CC)CCCC)s8)c7s6)s5)sc4c3s2)c1,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,0.851,18.77,9.66,60.5,-5.51,-2.77,-5.52,-3.89,,,2024.0,10.1021/acsapm.4c01193,opvdb_experimental,electrochemical,training
P3TEA,SF-PDI2,CCCCCCCCCCC(CCCCCCCC)COC(=O)c1cc(-c2c(F)c(F)c(-c3cc(C(=O)OCC(CCCCCCCC)CCCCCCCCCC)c(-c4sccc4CC(CCCCCC)CCCCCCC)s3)c3nsnc23)sc1-c1cc(CC(CCCCCC)CCCCCCC)c(-c2ccc(-c3c(F)c(F)c(-c4cccs4)c4nsnc34)s2)s1,CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4ccc5c6c(cc(-c7ccc8c(c7)C7(c9ccccc9-c9ccccc97)c7cc(-c9cc%10c%11c(ccc%12c%13ccc%14c%15c(ccc(c9c%11%12)c%15%13)C(=O)N(C(CCCCCC)CCCCCC)C%14=O)C(=O)N(C(CCCCCC)CCCCCC)C%10=O)ccc7-8)c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCC)CCCCCC)C5=O,1.11,13.27,9.5,64.3,-5.46,-3.56,-5.9,-3.83,,,2024.0,10.1002/cssc.202402169,opvdb_experimental,electrochemical,training
PTB7Th,PCBM,CCCCC(CC)COC(=O)c1sc2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,0.78,18.26,9.45,57.0,-5.21,-3.6,-6.1,-3.7,,,2024.0,10.1021/acsami.4c04669,opvdb_experimental,electrochemical,training
