PaperLabel,DOI,V_OC,J_SC,PCE,DonorNo,DonorName,DonorSMILES,HOMO_D,LUMO_D,Lambda+,AcceptorNo,AcceptorName,AcceptorSMILES,HOMO_A,LUMO_A,LUMO+1_A,Lambda-,Model1_PCE,Model2_PCE,Model3_PCE
24.0,10.1016/j.orgel.2014.03.013,1.03,6.56,2.03,113,BDATBT,CCc1c(CC)c(-c2ccc(-c3ccc(C#Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)s2)c2nsnc2c1-c1ccc(-c2ccc(C#Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)s1,-4.87546386,-2.30589277,0.057952,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,3.653007,3.539066,3.77301
24.0,10.1016/j.orgel.2014.03.013,0.92,8.77,3.4,114,BDETBT,CCc1c(CC)c(-c2ccc(-c3ccc(C=Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)s2)c2nsnc2c1-c1ccc(-c2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)s1,-4.78076824,-2.26779683,0.071038,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,3.087018,3.063825,3.085021
24.0,10.1016/j.orgel.2014.03.013,0.94,9.68,2.99,115,BDPTBT,CCc1c(CC)c(-c2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)s2)c2nsnc2c1-c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)s1,-4.89886565,-2.27051797,0.064985,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,2.90439,3.012606,2.901265
23.0,10.1021/ja910420t,0.88,1.16,0.34,116,PA-P6d,CCc1ccc(C=Cc2ccc(C=Cc3c4ccccc4c(C=Cc4ccc(C=Cc5ccc(CC)c(CC)c5)cc4)c4ccccc34)cc2)cc1CC,-4.80253735,-1.96330143,0.265334,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,0.448221,0.545481,0.38903
23.0,10.1021/ja910420t,0.95,2.57,1.2,117,PA-P6t,CCc1ccc(C#Cc2ccc(C#Cc3c4ccccc4c(C#Cc4ccc(C#Cc5ccc(CC)c(CC)c5)cc4)c4ccccc34)cc2)cc1CC,-4.83328621,-2.41092872,0.069385,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,1.752985,1.543159,1.858599
19.0,10.1039/C5RA17660C,0.95,4.46,1.92,118,CA-3T-IID-3T-CA-l,CCOC(=O)C(C#N)=Cc1ccc(-c2sc(-c3sc(-c4ccc5c(c4)N(CC)C(=O)C5=C4C(=O)N(CC)c5cc(-c6cc(CC)c(-c7cc(CC)c(-c8ccc(C=C(C#N)C(=O)OCC)s8)s7)s6)ccc54)cc3CC)cc2CC)s1,-5.21887154,-3.056927,0.105151,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,1.746447,1.778177,1.715133
23.0,10.1021/ja910420t,0.89,3.1,1.27,119,A-P6t,CCc1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(CC)c(CC)c3)c3ccccc23)cc1CC,-4.78621052,-2.17990406,0.07902,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,1.049489,1.138935,1.062099
23.0,10.1021/ja910420t,0.45,0.8,0.11,120,BTZT-P6t,CCc1ccc(C#Cc2ccc(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(CC)c(CC)c5)c5nsnc45)s3)c3nsnc23)cc1CC,-5.08689632,-2.8152899,0.089312,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,0.873539,0.771105,1.009698
23.0,10.1021/ja910420t,0.89,2.9,0.56,121,TBTZ-P6t,CCc1ccc(C#Cc2ccc(-c3ccc(-c4ccc(C#Cc5ccc(CC)c(CC)c5)s4)c4nsnc34)s2)cc1CC,-4.88879744,-2.72032216,0.110481,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,0.469668,0.45332,0.279589
23.0,10.1021/ja910420t,0.66,0.28,0.05,122,BTZ-P6t,CCc1ccc(C#Cc2ccc(C#Cc3ccc(CC)c(CC)c3)c3nsnc23)cc1CC,-5.23438203,-2.51433198,0.110758,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,0.370768,0.456607,0.230673
22.0,10.1039/c0cc05448h,0.575,0.83,0.13,123,PTPA,CC(C)n1c(=O)c2ccc3c4c(-c5ccc(-c6ccc(-c7ccc(-c8ccc(N(c9ccccc9)c9ccccc9)cc8)s7)s6)s5)cc5c(=O)n(C(C)C)c(=O)c6cc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(N(c%11ccccc%11)c%11ccccc%11)cc%10)s9)s8)s7)c(c7ccc(c1=O)c2c37)c4c56,-4.84417077,-3.32060532,0.073853,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,1.9301,1.658694,2.094478
22.0,10.1039/c0cc05448h,0.96,2.53,0.81,124,FP3HTTPA,CCc1cc(-c2sc(-c3cc4c5cc6c(=O)n(CC)c(=O)c7cc8c9sc(-c%10cc(CC)c(-c%11cc(CC)c(-c%12ccc(N(c%13ccccc%13)c%13ccccc%13)cc%12)s%11)s%10)cc9c9cc%10c(=O)n(CC)c(=O)c%11cc(c4s3)c3c5c(c67)c8c9c3c%10%11)cc2CC)sc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,-4.89995412,-2.9548843,0.10636,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,3.129811,3.012255,3.020517
