DonorName,AcceptorName,DonorSMILES,AcceptorSMILES,V_OC,J_SC,FF_percent,PCE,HOMO_D,LUMO_D,HOMO_A,LUMO_A,Lambda+,Lambda-,PubYear,DOI,Source_Database
P3HT,BTDT2R,CCCCCCc1ccsc1,CCCCCCOc1c(OCCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)c2nsnc2c1-c1ccc(/C=C2\SC(=S)N(CC)C2=O)s1,0.81,9.42,67.0,5.09,-5.01,-3.12,-5.61,-3.73,,,2019,10.1021/acsami.9b09256,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PBDB-T,PNDI-TVT,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(/C=C/c6cccs6)s5)cc(c24)C1=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C3=O,0.85,9.92,62.0,5.06,-5.33,-2.92,-5.36,-3.89,,,2019,10.1021/acs.chemmater.9b00639,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PSBDB-T,ITIC,CCCCC(CC)C[Si]1(CC(CC)CCCC)c2ccsc2-c2sc(-c3cccc4nsnc34)cc21,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,0.96,10.45,50.0,5.0,-5.56,-3.53,-5.576,-3.916,,,2019,10.1016/j.dyepig.2019.02.040,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PTAZ-TPD10-C8,N2200,CCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9cc(CCCCCCCC)c(CCCCCCCC)s9)c9sc(-c%10scc%11c%10C(=O)N(CCCCCCCC)C%11=O)cc9c(-c9cc(CCCCCCCC)c(CCCCCCCC)s9)c8s7)s6)c6nn(CC(CC)CCCC)nc56)s4)sc3c(-c3cc(CCCCCCCC)c(CCCCCCCC)s3)c3ccsc23)sc1CCCCCCCC,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2ccc3c4c(c(-c5ccc(-c6cccs6)s5)cc(c24)C1=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C3=O,0.88,9.4,60.0,5.0,-5.27,-3.23,-5.71,-4.02,,,2019,10.1002/aenm.201901740,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
T1,ITIC,CCCCCCCCC(CCCCCC)Sc1ccc2cc(-c3c4cc(-c5ccc(-c6c(F)c(F)c(-c7ccc(-c8cc9c(-c%10ccc%11cc(SC(CCCCCC)CCCCCCCC)ccc%11c%10)c%10sc(-c%11ccc(-c%12sc(-c%13cccs%13)c%13c%12C(=O)c%12c(C(CC)CCCC)sc(C(CC)CCCC)c%12C%13=O)s%11)cc%10c(-c%10ccc%11cc(SC(CCCCCC)CCCCCCCC)ccc%11c%10)c9s8)s7)c7nn(C(CCCCCC)CCCCCCCC)nc67)s5)sc4c(-c4ccc5cc(SC(CCCCCC)CCCCCCCC)ccc5c4)c4ccsc34)ccc2c1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,0.952,16.8,71.91,11.5,-5.4,-3.54,-5.576,-3.916,,,2019,10.1021/acsami.9b20364,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PFBDB-T,CDTTIC,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(-c5sc(-c6cc(F)cs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)cc4F)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCCCC1(CCCCCCCC)c2c(sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)-c2sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3c21,0.78,24.9,56.0,11.5,-5.47,-3.46,-5.62,-3.98,,,2019,10.1002/adfm.201904956,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PBDB-TF,ITIC-2Cl-Th,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3ccsc23)cc1F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)sc23)cc1,0.86,18.31,72.1,11.45,-5.5,-3.61,-5.31,-3.74,,,2019,10.1021/acsaem.9b01667,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
J75,m-ITIC,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)[se]6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)[se]6)c5s4)s3)c2n1,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,0.96,17.11,69.5,11.41,-5.49,-3.66,-5.53,-3.95,,,2019,10.1021/acs.macromol.9b00484,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PBDB-TF,DPBDT-4Cl,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3ccsc23)cc1F,CCCCCCc1ccc(-c2c3sc4c(c3c(-c3ccc(CCCCCC)cc3)c3sc5c(c23)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c6cc(Cl)c(Cl)cc6C3=C(C#N)C#N)sc2-5)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(/C=C3\C(=O)c5cc(Cl)c(Cl)cc5C3=C(C#N)C#N)sc2-4)cc1,0.89,18.7,65.0,11.4,-5.5,-3.68,-5.62,-3.94,,,2019,10.1016/j.nanoen.2019.104209,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PBDB-T,IPTT-2F,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccc(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3c4sc(/C=C5\C(=O)c6ccc(F)cc6C5=C(C#N)C#N)cc4n(CC)c23)cc1,0.874,19.7,66.2,11.4,-5.33,-3.48,-5.46,-4.04,,,2019,10.1039/c9ta07634d,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
